fips,svg
22045,"M 338.42698,282.784 L 339.25998,282.482 L 339.52698,282.424 L 339.90098,282.478 L 341.66798,283.258 L 341.69798,283.307 L 341.67798,283.392 L 341.05398,284.263 L 340.92298,284.344 L 340.48598,284.479 L 340.29698,284.425 L 338.13398,283.389 L 337.96298,283.204 L 338.42698,282.784M 345.20998,276.726 L 346.84598,277.078 L 346.53498,277.791 L 344.12298,278.105 L 342.41998,278.322 L 341.51398,279.642 L 339.73798,281.324 L 338.63498,280.306 L 338.56598,277.345 L 338.70498,276.839 L 339.19298,276.83 L 340.75698,276.294 L 340.96398,276.168 L 341.11398,276.128 L 341.43298,276.114 L 341.83298,276.2 L 341.93298,276.235 L 343.87598,276.799 L 345.20998,276.726"
22047,"M 343.64598,271.151 L 344.01998,271.43 L 345.24598,272.761 L 345.67898,273.306 L 347.56698,273.203 L 348.91398,273.153 L 348.13998,276.533 L 346.84598,277.078 L 345.20998,276.726 L 345.19998,276.556 L 345.07898,276.263 L 343.91598,274.591 L 343.72298,274.506 L 343.51498,274.464 L 343.16298,274.496 L 342.93398,274.478 L 342.78898,274.41 L 342.64598,274.292 L 342.24898,273.631 L 342.18598,273.454 L 342.16198,273.379 L 342.18598,273.224 L 342.15798,272.549 L 342.10898,272.297 L 341.95598,271.932 L 341.24798,271.26 L 343.64598,271.151"
22049,"M 328.44398,246.494 L 330.12898,246.443 L 330.10198,245.886 L 332.34198,245.807 L 332.38298,246.845 L 332.44598,247.003 L 333.55398,248.026 L 333.57198,248.584 L 333.63498,250.283 L 328.16898,250.468 L 328.44398,246.494"
22051,"M 357.24798,273.855 L 357.64098,273.915 L 359.19498,274.239 L 359.16298,276.348 L 359.91598,277.372 L 360.51598,277.98 L 360.06998,278.746 L 359.86098,279.611 L 359.98498,280.03 L 360.34498,280.513 L 360.56498,280.769 L 361.01198,281.531 L 361.06998,281.775 L 361.23298,283.704 L 360.67798,283.889 L 359.99798,283.591 L 359.09698,282.262 L 359.16298,282.021 L 359.15398,281.891 L 359.02398,280.986 L 358.99298,280.887 L 358.87498,280.815 L 358.50598,280.729 L 358.22198,280.742 L 358.38398,280.242 L 358.44698,280.044 L 358.63198,278.972 L 357.95098,278.566 L 357.60898,278.038 L 357.53698,277.827 L 357.42398,277.186 L 357.39698,276.74 L 357.24798,273.855M 360.36198,286.827 L 360.37198,286.837 L 360.68298,286.777 L 360.92598,286.503 L 361.57498,286.003 L 361.66998,286.016 L 361.68898,286.053 L 361.67898,286.084 L 361.62098,286.178 L 360.91198,286.705 L 360.30398,287.337 L 360.19898,287.445 L 360.19598,287.449 L 360.36198,286.827"
22053,"M 330.91798,271.887 L 331.16998,276.89 L 329.93098,277.641 L 327.05098,277.723 L 327.03698,277.155 L 328.22698,277.087 L 328.02798,276.515 L 327.75398,276.182 L 326.57698,274.874 L 325.41498,273.373 L 325.40598,273.076 L 325.39698,272.809 L 326.68998,272.585 L 328.45698,272.314 L 329.33998,271.85 L 330.93698,271.801 L 330.91798,271.887"
22055,"M 336.45198,274.027 L 338.12498,273.058 L 338.70498,276.839 L 338.56598,277.345 L 337.41198,276.88 L 336.69998,276.384 L 335.77298,276.078 L 334.94298,276.037 L 336.45198,274.027"
22057,"M 354.57498,278.382 L 355.17998,278.777 L 356.15298,279.813 L 356.73098,280.557 L 356.73498,280.635 L 356.83798,280.774 L 356.97398,280.806 L 358.22198,280.742 L 358.50598,280.729 L 358.87498,280.815 L 358.99298,280.887 L 359.02398,280.986 L 359.15398,281.891 L 359.16298,282.021 L 359.09698,282.262 L 359.99798,283.591 L 360.67798,283.889 L 360.69198,285.349 L 360.02498,286.169 L 360.36198,286.827 L 360.19598,287.449 L 360.07298,287.57 L 360.04298,287.606 L 359.32198,288.202 L 359.28498,288.233 L 359.25498,288.252 L 358.74398,288.526 L 357.41498,288.968 L 357.35198,288.964 L 357.35198,288.954 L 357.33898,288.887 L 357.60498,288.724 L 357.84298,288.68 L 357.96998,288.657 L 358.07698,288.602 L 358.35298,288.468 L 358.40598,288.436 L 358.60498,288.211 L 358.59098,287.973 L 358.11298,287.025 L 357.92398,286.768 L 357.56498,286.286 L 357.36498,286.141 L 356.98298,286.201 L 356.76698,286.489 L 356.56398,287.228 L 356.84698,285.812 L 356.77898,285.21 L 356.71198,285.019 L 356.55098,284.849 L 354.43598,282.677 L 351.66898,280.039 L 351.51998,280.021 L 351.44398,280.057 L 349.48298,280.945 L 350.70798,278.427 L 353.28198,278.489 L 354.57498,278.382"
22059,"M 333.74398,253.104 L 337.09298,252.974 L 337.39098,260.736 L 336.51998,260.646 L 335.24398,258.855 L 334.76798,258.717 L 334.26698,258.167 L 333.74798,257.445 L 333.38798,256.45 L 333.26198,254.817 L 333.74398,253.104"
22061,"M 328.86698,242.517 L 329.75898,242.491 L 330.22298,242.545 L 330.57498,242.622 L 332.26098,243.555 L 332.30598,244.682 L 332.34198,245.807 L 330.10198,245.886 L 330.12898,246.443 L 328.44398,246.494 L 327.26298,244.83 L 328.86698,242.517"
22063,"M 349.91498,268.872 L 353.71898,268.65 L 353.84098,270.75 L 354.11098,271.426 L 354.97698,272.625 L 355.35498,273.014 L 355.48598,273.121 L 355.62598,273.184 L 355.83198,273.232 L 355.08498,273.486 L 354.83198,273.622 L 354.76098,273.684 L 354.59298,274.055 L 354.45298,274.27 L 354.30598,274.424 L 354.16998,274.51 L 354.05698,274.527 L 353.93598,274.506 L 353.30498,274.207 L 352.69998,274.82 L 352.65498,274.844 L 352.60098,274.829 L 352.36198,274.667 L 350.33398,272.774 L 349.43798,272.049 L 349.22698,271.521 L 349.18998,269.739 L 349.91498,268.872"
22065,"M 346.64798,244.298 L 346.40298,245.123 L 346.42198,245.33 L 346.42198,245.344 L 346.45298,245.389 L 346.49898,245.461 L 346.50798,245.484 L 347.71098,246.764 L 347.78698,248.625 L 346.52998,248.781 L 346.52998,248.769 L 346.52698,248.489 L 346.38598,248.372 L 346.32198,248.372 L 345.83098,248.454 L 344.62798,248.842 L 344.43898,248.977 L 344.38498,249.08 L 342.51498,249.156 L 342.56398,246.534 L 342.69198,244.821 L 346.64798,244.298"
22067,"M 342.36998,238.768 L 342.63598,238.753 L 342.57198,239.03 L 341.06298,242.126 L 340.66698,243.239 L 340.67998,243.289 L 340.58098,243.595 L 340.43198,243.865 L 340.32898,243.977 L 339.66098,244.312 L 338.93098,244.559 L 338.17398,245.097 L 337.77798,245.457 L 336.01598,242.721 L 336.06498,242.681 L 336.14598,242.505 L 336.11398,241.824 L 335.72298,240.715 L 335.82098,239.034 L 342.36998,238.768"
